PREGUNTAS,RESPUESTAS,CATEGORIA
¿Qué dibujito animado vive en una piña debajo del mar?,Bob Esponja,General
¿Quién escribió un diario famoso mientras se escondía de los nazis en Amsterdam?,Anne Frank,General
¿Qué servicio de correo electrónico es propiedad de Microsoft?,Outlook,General
¿Cuál es el planeta más pequeño de nuestro sistema solar?,Mercurio,General
¿Cuándo cayó el muro de Berlín??,1989,General
¿Cuál era el nombre original de la ciudad de Nueva York?,Nueva Ámsterdam,General
 ¿Qué desastre natural se mide con escala de Richter?, Terremotos, Ciencia
¿Qué significa el ADN?, Ácido desoxirribonucleico, Ciencia
 ¿Quién fue la primera persona en ver las lunas de Júpiter?,Galileo Galilei , Ciencia

